season,yr,mnth,hr,weekday,workingday,weathersit,temp,hum,windspeed,cnt
3,1,8,3,0,0,1,0.72,0.74,0.2537,41
2,0,6,11,2,1,2,0.76,0.52,0.2537,151
2,1,4,0,3,1,1,0.54,0.32,0.1642,38
1,1,1,22,2,1,1,0.46,0.72,0.3881,90
4,1,10,15,2,1,3,0.3,0.87,0.2537,124
1,0,1,8,2,1,1,0.14,0.69,0.1642,179
3,0,8,9,2,1,2,0.78,0.62,0.1343,175
3,1,7,15,2,1,1,0.76,0.62,0.1343,144
3,1,9,10,3,1,2,0.76,0.7,0.1642,235
2,1,4,18,0,0,1,0.6,0.26,0.2836,487
4,1,12,9,5,1,2,0.3,0.81,0.1343,301
2,1,6,0,2,1,2,0.7,0.58,0.2239,28
3,1,9,23,3,1,1,0.48,0.67,0.0896,123
4,0,10,17,0,0,1,0.62,0.61,0.1045,438
3,0,7,1,6,0,1,0.76,0.55,0.0896,90
1,0,1,4,4,1,1,0.26,0.56,0.1642,1
2,0,4,1,6,0,2,0.3,0.87,0.1343,20
1,0,3,16,6,0,1,0.5,0.31,0.3881,304
3,1,9,14,2,1,3,0.6,0.94,0.4627,143
2,1,3,23,0,0,1,0.48,0.82,0.1343,65
1,0,1,1,3,1,1,0.16,0.74,0.0896,6
4,0,11,12,4,0,1,0.46,0.36,0.2239,150
2,1,6,4,3,1,1,0.6,0.83,0.1343,10
2,0,6,21,1,1,1,0.64,0.73,0.1642,206
2,0,4,17,4,1,1,0.64,0.47,0.3582,455
4,1,11,2,2,1,1,0.24,0.65,0.0896,2
4,0,10,10,1,1,2,0.36,0.57,0.1642,105
4,0,10,13,6,0,1,0.6,0.35,0.4627,394
2,1,5,10,3,1,2,0.58,0.83,0.1045,175
3,0,7,8,0,0,1,0.82,0.56,0.2836,104
2,0,5,11,2,1,2,0.56,0.83,0.4179,130
1,0,12,2,2,1,1,0.26,0.7,0.1343,4
1,0,2,14,4,1,1,0.6,0.31,0.2239,81
2,0,4,8,2,1,3,0.48,0.88,0.3881,226
1,1,2,22,1,1,1,0.44,0.44,0.2537,92
3,1,7,16,4,1,1,0.92,0.33,0.2537,433
2,1,5,11,2,1,1,0.76,0.62,0.2985,197
1,1,2,2,1,1,1,0.14,0.46,0.194,4
2,0,3,8,4,1,3,0.26,1.0,0.2985,124
2,1,5,5,3,1,1,0.54,0.9,0.1343,33
4,1,10,20,1,1,1,0.5,0.59,0.1045,403
4,1,11,17,2,1,2,0.4,0.71,0.1642,590
3,0,9,0,6,0,2,0.64,0.73,0.1045,87
4,0,11,19,2,1,3,0.46,0.94,0.1045,111
3,0,7,1,1,0,1,0.64,0.83,0.0896,119
3,0,8,14,4,1,2,0.72,0.74,0.0,113
3,0,7,3,6,0,1,0.74,0.62,0.1642,43
3,1,6,13,5,1,1,0.94,0.38,0.194,239
2,1,6,13,6,0,1,0.62,0.41,0.2537,679
1,0,1,13,1,1,2,0.2,0.4,0.2836,54
3,1,6,22,1,1,1,0.66,0.29,0.3881,187
2,0,4,21,5,1,1,0.46,0.51,0.194,195
1,1,2,1,6,0,1,0.34,0.42,0.3582,46
1,0,1,21,2,1,3,0.16,0.86,0.0896,20
3,0,6,20,2,1,3,0.74,0.7,0.2239,326
2,0,5,14,2,1,1,0.78,0.46,0.2836,153
1,0,3,4,6,0,2,0.3,0.93,0.1642,1
1,0,2,12,4,1,2,0.36,0.53,0.3582,95
4,1,11,0,6,0,1,0.32,0.76,0.0896,122
3,0,7,7,6,0,1,0.64,0.65,0.0,45
3,1,7,17,6,0,1,0.96,0.26,0.1343,279
1,1,1,13,0,0,2,0.16,0.8,0.1343,199
2,0,5,4,6,0,2,0.5,0.82,0.1642,5
4,0,11,4,0,0,2,0.36,0.62,0.1343,6
2,0,4,15,0,0,1,0.54,0.32,0.5224,388
3,1,6,0,6,0,1,0.64,0.83,0.0,116
4,0,12,7,2,1,2,0.46,0.94,0.194,234
1,1,2,10,4,1,1,0.42,0.67,0.194,148
3,0,8,15,3,1,1,0.8,0.43,0.1343,159
3,0,8,2,4,1,1,0.66,0.65,0.2239,6
1,1,2,8,6,0,1,0.24,0.87,0.0,90
4,0,12,23,1,1,1,0.24,0.75,0.0,45
1,0,3,17,2,1,1,0.34,0.34,0.0896,242
1,0,1,18,4,1,2,0.26,0.56,0.194,185
4,0,12,5,2,1,3,0.46,0.88,0.2239,20
4,1,12,11,4,1,1,0.34,0.42,0.2537,189
2,1,5,7,3,1,2,0.54,0.88,0.194,358
2,0,6,19,6,0,2,0.7,0.39,0.0896,285
2,0,4,11,1,1,2,0.6,0.73,0.2985,104
3,1,8,15,4,1,1,0.88,0.32,0.2239,267
2,1,5,17,3,1,3,0.64,0.69,0.1045,285
2,0,4,22,2,1,1,0.32,0.49,0.2985,46
3,0,7,11,0,0,1,0.78,0.55,0.194,287
2,0,3,13,4,1,2,0.32,0.7,0.2239,101
1,0,2,22,0,0,2,0.32,0.57,0.2239,47
1,1,1,12,2,1,1,0.18,0.37,0.5224,74
4,1,11,1,1,1,2,0.36,0.66,0.2239,19
4,1,12,22,3,1,1,0.32,0.45,0.3881,105
1,0,3,16,4,1,1,0.5,0.48,0.2836,142
3,1,9,14,3,1,1,0.62,0.38,0.2537,286
3,1,8,13,4,1,1,0.86,0.44,0.2239,310
3,1,7,22,3,1,1,0.72,0.58,0.2537,244
4,0,10,7,2,1,1,0.42,0.82,0.2836,309
3,1,8,13,6,0,2,0.72,0.51,0.3582,517
2,0,5,19,1,1,1,0.58,0.43,0.194,384
4,1,12,19,2,1,1,0.38,0.46,0.3881,353
3,0,8,19,1,1,1,0.7,0.65,0.0,397
3,1,8,23,1,1,1,0.72,0.74,0.194,113
1,1,3,13,6,0,1,0.6,0.6,0.1045,686
3,0,7,22,3,1,1,0.7,0.79,0.194,186
1,1,3,16,6,0,1,0.64,0.5,0.0,685
2,0,4,5,2,1,2,0.46,0.72,0.194,18
4,1,9,11,0,0,1,0.56,0.46,0.2537,570
4,1,11,20,4,1,1,0.34,0.61,0.1045,285
2,0,4,13,0,0,1,0.5,0.34,0.3881,343
2,0,4,17,0,0,2,0.46,0.28,0.1343,274
2,0,5,12,2,1,2,0.68,0.61,0.4925,217
2,1,4,0,4,1,2,0.48,0.63,0.0,43
2,1,6,23,3,1,1,0.52,0.77,0.0,123
4,0,11,17,4,1,1,0.32,0.42,0.3881,399
1,0,3,16,6,0,1,0.46,0.41,0.4478,244
1,0,12,4,6,0,2,0.32,0.66,0.1642,3
2,0,4,4,3,1,1,0.24,0.65,0.1343,1
1,0,3,17,4,1,1,0.5,0.42,0.194,313
3,0,7,22,0,0,1,0.78,0.66,0.0,98
4,0,10,10,1,0,1,0.56,0.73,0.1642,265
2,1,6,13,4,1,1,0.68,0.57,0.1642,284
3,1,8,4,5,1,1,0.66,0.83,0.2537,12
3,1,6,13,0,0,1,0.8,0.33,0.2836,585
4,0,11,0,5,1,1,0.26,0.48,0.1642,30
3,0,8,4,1,1,1,0.56,0.68,0.1343,3
4,0,9,4,0,0,3,0.6,0.94,0.1343,8
3,1,8,3,3,1,1,0.62,0.78,0.0,7
2,1,5,8,1,1,3,0.54,0.88,0.2239,156
3,0,9,18,4,1,3,0.64,0.94,0.3582,68
3,1,9,13,0,0,1,0.64,0.41,0.1642,694
4,1,12,13,3,1,1,0.46,0.41,0.2836,214
1,1,12,19,1,1,2,0.24,0.93,0.1343,18
2,1,4,6,0,0,1,0.5,0.63,0.1343,16
4,1,11,5,5,1,1,0.2,0.8,0.0,40
3,1,7,13,0,0,2,0.7,0.65,0.0896,626
4,0,12,4,5,1,2,0.5,0.59,0.194,5
4,0,11,12,4,1,2,0.34,0.53,0.2985,121
3,0,6,13,3,1,2,0.82,0.56,0.2537,147
2,0,3,13,3,1,3,0.34,0.87,0.1343,108
1,1,2,7,5,1,2,0.4,0.76,0.2239,272
3,0,9,11,6,0,1,0.72,0.62,0.2537,360
4,1,10,5,4,1,1,0.36,0.5,0.1642,42
4,0,10,23,3,1,2,0.58,0.94,0.3582,69
3,0,8,16,6,0,2,0.7,0.74,0.2836,281
2,0,4,10,4,1,1,0.42,0.44,0.3582,98
4,1,11,9,1,1,2,0.36,0.66,0.2537,278
3,0,6,14,4,1,1,0.78,0.31,0.194,163
3,1,9,20,4,1,1,0.56,0.64,0.1343,417
3,1,8,8,5,1,2,0.7,0.74,0.0,690
3,0,9,17,4,1,1,0.72,0.54,0.2537,628
4,0,10,15,4,1,1,0.66,0.78,0.194,155
2,0,4,17,5,1,2,0.52,0.45,0.3881,508
2,1,4,17,3,1,1,0.42,0.35,0.3881,579
2,0,4,18,1,1,1,0.64,0.31,0.3582,362
4,0,11,19,5,1,1,0.28,0.41,0.1642,190
2,0,5,17,0,0,3,0.56,0.78,0.3582,392
4,0,10,5,4,1,1,0.48,0.82,0.3582,26
4,1,10,14,6,0,1,0.6,0.46,0.2537,750
2,0,6,20,4,1,2,0.8,0.43,0.194,254
3,0,8,0,4,1,1,0.7,0.45,0.1045,46
2,1,6,23,0,0,1,0.58,0.64,0.194,108
2,0,5,6,6,0,1,0.5,0.82,0.1343,28
4,1,10,23,3,1,2,0.58,0.68,0.0896,123
3,0,8,15,5,1,1,0.8,0.29,0.1642,249
3,1,8,23,5,1,3,0.64,0.83,0.2239,121
2,0,5,7,4,1,1,0.38,0.58,0.2537,271
4,0,9,23,0,0,2,0.62,0.94,0.1045,79
4,0,12,10,4,1,1,0.32,0.53,0.2985,93
1,0,2,7,6,0,3,0.22,0.93,0.0896,4
4,1,12,10,4,1,1,0.32,0.45,0.2836,167
2,0,5,9,2,1,2,0.64,0.73,0.194,138
1,1,2,5,0,0,3,0.26,0.81,0.194,4
2,1,6,21,1,1,2,0.72,0.58,0.194,250
1,0,2,5,1,0,2,0.34,0.36,0.0,3
4,0,11,1,3,1,3,0.46,0.94,0.0896,5
2,1,3,9,4,1,2,0.5,0.94,0.0896,318
3,0,9,20,6,0,1,0.52,0.68,0.1343,176
2,0,4,7,3,1,1,0.26,0.65,0.1045,133
1,1,1,5,6,0,1,0.24,0.75,0.0896,10
3,0,8,18,5,1,1,0.76,0.58,0.5224,425
4,1,10,22,6,0,2,0.52,0.72,0.2537,157
1,1,1,4,2,1,2,0.2,0.86,0.1642,4
4,0,11,2,2,1,2,0.5,0.88,0.0,5
3,1,9,21,6,0,1,0.56,0.52,0.1045,296
3,0,9,18,2,1,1,0.6,0.83,0.1045,492
4,1,11,15,4,1,2,0.38,0.58,0.1642,217
3,1,6,7,3,1,1,0.6,0.43,0.3582,527
2,0,5,15,3,1,1,0.76,0.52,0.2537,182
3,0,7,13,2,1,1,0.86,0.47,0.2239,136
4,1,10,1,6,0,2,0.5,0.88,0.1343,146
1,0,3,21,6,0,1,0.4,0.37,0.2985,93
3,1,7,4,1,1,2,0.66,0.94,0.1343,8
4,1,11,8,0,0,2,0.22,0.51,0.194,34
2,0,5,5,0,0,2,0.44,0.77,0.0,5
4,0,12,8,4,1,1,0.26,0.6,0.3284,477
4,1,11,2,6,0,1,0.26,0.65,0.194,49
1,0,1,1,0,0,1,0.26,0.56,0.1343,23
3,1,7,22,0,0,1,0.7,0.74,0.194,191
3,1,7,15,4,1,1,0.92,0.33,0.3582,254
2,0,5,11,2,1,1,0.74,0.51,0.2239,175
4,1,10,16,6,0,1,0.54,0.42,0.2836,691
2,1,5,13,0,0,2,0.6,0.64,0.0,565
1,0,1,19,0,0,1,0.32,0.42,0.4478,30
1,0,2,20,6,0,1,0.3,0.87,0.2537,69
2,0,5,23,2,1,1,0.72,0.79,0.0896,61
2,0,6,1,3,1,1,0.7,0.84,0.2537,17
1,1,3,7,0,0,2,0.3,0.52,0.2985,23
1,0,2,13,0,0,1,0.38,0.29,0.3582,154
4,0,9,14,4,1,1,0.68,0.51,0.2985,167
2,0,5,0,0,0,1,0.64,0.83,0.2239,83
1,0,12,23,4,1,1,0.3,0.65,0.1642,45
4,0,12,1,1,1,1,0.18,0.8,0.0896,11
3,0,8,11,1,1,1,0.82,0.48,0.3582,179
1,1,12,14,6,0,1,0.32,0.36,0.4627,161
1,1,2,3,6,0,1,0.3,0.45,0.2985,7
1,1,2,11,0,0,1,0.28,0.41,0.2836,227
1,1,3,7,2,1,3,0.52,0.94,0.2239,170
4,1,11,22,6,0,1,0.38,0.71,0.0896,193
2,1,4,11,3,1,2,0.38,0.43,0.3284,180
2,0,5,17,5,1,3,0.52,0.88,0.1642,491
1,1,1,0,0,0,1,0.3,0.33,0.2239,96
1,1,2,13,6,0,1,0.32,0.31,0.4925,226
4,0,11,5,0,0,2,0.42,0.67,0.2836,4
4,0,11,20,2,1,2,0.46,1.0,0.2239,127
4,0,10,3,2,1,1,0.44,0.94,0.0896,1
2,0,4,18,5,1,1,0.52,0.48,0.3582,439
4,0,10,16,6,0,2,0.4,0.76,0.2985,223
3,0,7,10,0,0,1,0.86,0.5,0.3284,226
1,0,2,17,4,1,1,0.18,0.26,0.194,165
2,1,4,0,0,0,2,0.36,0.76,0.2537,67
3,0,7,7,6,0,1,0.62,0.73,0.1343,52
4,0,10,14,5,1,1,0.62,0.5,0.0,256
3,0,8,20,5,1,1,0.72,0.79,0.0896,222
1,0,3,20,6,0,1,0.4,0.58,0.1045,86
4,0,10,21,5,1,1,0.42,0.58,0.1642,143
4,0,12,15,1,1,1,0.38,0.46,0.1642,159
2,1,4,12,0,0,2,0.42,0.67,0.2239,445
2,1,6,18,5,1,3,0.62,0.88,0.3582,110
2,0,4,7,1,1,2,0.44,0.54,0.2537,157
3,0,8,21,4,1,2,0.7,0.74,0.194,211
2,0,3,3,2,1,1,0.44,0.82,0.2239,5
1,0,12,21,6,0,1,0.4,0.58,0.194,52
2,1,4,17,4,1,1,0.54,0.77,0.1642,614
4,0,12,6,0,0,1,0.2,0.59,0.1343,3
2,0,6,23,5,1,1,0.62,0.83,0.1343,178
4,0,11,15,2,1,2,0.54,0.6,0.1343,191
4,0,11,15,0,0,1,0.62,0.43,0.2836,317
3,0,7,8,3,1,1,0.74,0.74,0.0,438
2,1,6,12,0,0,1,0.82,0.3,0.0,502
2,1,4,18,5,1,1,0.5,0.22,0.4627,484
3,0,8,1,1,1,1,0.6,0.69,0.1045,20
3,1,7,20,3,1,1,0.74,0.51,0.1642,483
3,1,7,21,5,1,1,0.72,0.54,0.0,299
1,0,2,1,6,0,2,0.24,0.65,0.1642,18
3,0,7,5,2,1,2,0.7,0.74,0.1045,19
4,1,10,20,0,0,1,0.4,0.82,0.1343,116
3,0,8,14,6,0,3,0.64,0.89,0.5522,23
2,1,4,5,6,0,1,0.34,0.46,0.1343,5
2,1,4,16,0,0,1,0.6,0.28,0.194,587
4,0,12,15,3,1,2,0.38,0.54,0.1045,167
2,1,6,16,2,1,1,0.8,0.55,0.2239,334
2,1,5,20,6,0,2,0.74,0.55,0.194,255
2,1,4,0,6,0,1,0.4,0.58,0.1343,96
3,0,7,12,1,1,2,0.84,0.59,0.194,67
2,0,4,23,4,1,1,0.46,0.59,0.1045,47
2,1,5,13,2,1,1,0.82,0.52,0.3881,239
3,0,6,3,3,1,2,0.66,0.83,0.1045,5
1,0,12,13,5,1,2,0.36,0.53,0.1343,207
3,0,7,7,0,0,1,0.64,0.73,0.1642,50
2,0,4,13,1,1,1,0.68,0.34,0.3284,139
4,0,11,13,1,1,1,0.6,0.49,0.3881,203
1,1,2,23,5,1,1,0.26,0.7,0.1045,77
2,1,3,9,5,1,1,0.34,0.57,0.1642,321
4,0,11,11,0,0,1,0.46,0.4,0.4179,295
2,1,4,20,2,1,1,0.46,0.28,0.3881,282
2,0,5,17,6,0,1,0.58,0.4,0.2239,354
2,1,5,6,5,1,1,0.42,0.5,0.2537,135
4,1,10,10,2,1,2,0.44,0.75,0.2239,164
1,1,2,5,5,1,1,0.24,0.52,0.2239,17
2,0,6,12,3,1,1,0.7,0.34,0.2239,211
4,0,10,15,4,1,2,0.48,0.51,0.4478,160
3,1,8,11,2,1,1,0.78,0.55,0.2537,218
1,0,3,14,3,1,2,0.4,0.76,0.2239,100
1,1,1,0,3,1,2,0.46,0.77,0.3284,17
3,0,8,12,0,0,1,0.74,0.51,0.3881,306
3,1,9,6,2,1,2,0.68,0.89,0.1045,172
4,1,12,0,1,1,2,0.38,0.87,0.0,28
2,1,5,9,1,0,1,0.7,0.61,0.0,263
3,1,7,17,0,0,1,0.8,0.59,0.4925,436
4,0,12,5,4,1,1,0.22,0.64,0.2239,12
4,0,10,12,3,1,3,0.52,0.94,0.3284,130
3,0,9,21,4,1,2,0.64,0.89,0.0896,221
1,1,1,11,1,1,2,0.26,0.56,0.0896,88
2,0,5,21,2,1,1,0.54,0.52,0.0,203
4,0,12,11,4,1,1,0.28,0.52,0.2537,106
2,0,6,11,3,1,2,0.82,0.59,0.2239,112
2,0,5,13,6,0,1,0.7,0.45,0.0,462
3,1,7,3,6,0,2,0.7,0.54,0.1045,40
4,1,11,7,6,0,1,0.26,0.87,0.1045,71
4,1,11,1,3,1,1,0.24,0.6,0.2985,12
4,0,11,3,5,1,1,0.28,0.75,0.1045,2
2,1,4,21,2,1,1,0.44,0.3,0.4478,206
1,0,3,22,4,1,2,0.34,0.0,0.1343,34
2,1,3,13,5,1,3,0.4,0.5,0.0,242
1,0,3,16,3,1,2,0.34,0.76,0.3284,112
3,1,7,18,6,0,1,0.94,0.29,0.0896,277
2,0,5,18,0,0,2,0.46,0.82,0.0896,159
4,1,10,17,5,1,1,0.7,0.42,0.1642,900
2,0,4,0,4,1,1,0.46,0.41,0.2836,20
1,1,2,5,3,1,1,0.24,0.7,0.0896,20
1,1,3,13,0,0,1,0.36,0.37,0.3582,364
3,1,7,15,2,1,1,0.82,0.49,0.2985,285
2,0,5,11,0,0,1,0.6,0.78,0.2239,322
1,1,1,20,0,0,1,0.16,0.37,0.1045,95
4,0,12,12,0,0,1,0.26,0.35,0.0,288
4,1,11,9,3,1,1,0.28,0.52,0.194,322
4,1,12,10,3,1,2,0.44,0.47,0.3582,141
1,1,12,3,1,1,1,0.16,0.59,0.1045,1
3,0,9,23,5,1,1,0.62,0.94,0.0896,148
3,0,7,22,0,0,2,0.66,0.78,0.1045,162
1,1,1,16,3,1,1,0.34,0.53,0.1642,246
2,1,4,4,6,0,1,0.36,0.71,0.1045,14
2,0,4,16,6,0,1,0.38,0.62,0.3284,196
3,0,8,14,6,0,1,0.82,0.52,0.2537,380
3,1,9,5,0,0,1,0.66,0.89,0.0,12
3,1,8,6,6,0,2,0.62,0.88,0.1045,23
2,0,6,11,0,0,2,0.72,0.58,0.0896,377
4,0,12,17,0,0,1,0.28,0.3,0.0,163
2,0,5,8,3,1,1,0.48,0.77,0.2537,442
4,1,11,2,4,0,1,0.24,0.75,0.0896,18
2,1,5,23,6,0,1,0.6,0.56,0.1642,239
4,1,10,22,2,1,1,0.4,0.71,0.0896,181
3,0,7,5,1,1,1,0.64,0.78,0.1045,17
1,1,2,1,1,1,1,0.26,0.65,0.2239,6
2,0,5,20,6,0,1,0.62,0.61,0.0,248
3,1,6,19,5,1,1,0.9,0.47,0.194,363
2,0,4,13,3,1,2,0.44,0.77,0.194,61
4,1,12,13,1,1,2,0.4,0.87,0.1343,210
3,1,8,18,2,1,1,0.72,0.54,0.2239,625
3,0,9,11,4,1,1,0.72,0.51,0.1343,192
1,1,1,16,1,1,2,0.24,0.93,0.1642,122
1,0,1,9,4,1,2,0.24,0.52,0.2239,143
3,0,9,8,6,0,2,0.46,0.77,0.2537,108
4,0,12,8,1,1,2,0.16,0.8,0.1045,385
4,1,10,22,3,1,1,0.46,0.88,0.2537,215
3,1,9,11,2,1,2,0.68,0.79,0.6418,151
3,1,8,9,1,1,3,0.7,0.79,0.1642,276
3,0,7,10,2,1,2,0.82,0.56,0.1642,141
2,1,3,13,5,1,2,0.7,0.48,0.0,428
1,0,2,3,1,1,1,0.2,0.86,0.0,1
2,1,3,22,6,0,2,0.38,0.71,0.2537,156
3,1,8,2,2,1,2,0.68,0.83,0.194,11
3,0,9,12,6,0,2,0.52,0.67,0.2239,372
2,0,5,14,4,1,2,0.62,0.61,0.2239,191
4,0,11,1,3,1,2,0.48,0.94,0.2985,8
4,1,10,11,3,1,2,0.5,0.51,0.0896,234
1,0,2,2,4,1,1,0.2,0.64,0.0896,4
1,1,3,20,1,1,1,0.6,0.64,0.2239,330
2,1,5,21,2,1,2,0.64,0.65,0.2836,223
2,0,4,22,5,1,3,0.3,1.0,0.1343,24
2,0,5,5,5,1,1,0.44,0.94,0.1045,28
4,0,10,23,1,1,2,0.48,0.88,0.0,62
2,0,5,2,1,1,2,0.44,0.77,0.2239,35
1,1,2,15,1,1,1,0.42,0.32,0.2836,171
1,1,2,10,1,1,1,0.32,0.45,0.2537,104
1,1,3,8,0,0,1,0.3,0.52,0.3284,66
2,1,6,18,4,1,1,0.74,0.42,0.194,823
2,0,4,1,3,1,1,0.6,0.83,0.2537,17
3,0,6,2,0,0,1,0.62,0.57,0.1045,87
1,1,2,17,5,1,2,0.34,0.42,0.194,396
1,0,3,0,3,1,1,0.26,0.65,0.0896,9
4,0,10,22,3,1,2,0.48,0.88,0.0896,135
2,0,4,14,5,1,3,0.34,0.87,0.2239,15
2,0,4,6,4,1,2,0.4,0.58,0.5821,75
1,1,1,2,0,0,1,0.32,0.76,0.0,75
4,1,11,10,6,0,1,0.36,0.46,0.3881,328
4,0,12,20,1,1,1,0.3,0.56,0.0896,165
4,0,11,10,2,1,3,0.4,0.94,0.0,52
2,1,6,2,3,1,1,0.5,0.68,0.0,11
1,1,2,23,2,1,1,0.32,0.57,0.1343,51
2,0,6,23,0,0,1,0.62,0.78,0.1343,86
3,1,8,15,2,1,1,0.82,0.46,0.2239,283
1,0,1,8,1,0,2,0.16,0.47,0.2239,33
2,1,5,9,0,0,1,0.66,0.83,0.2239,270
4,0,11,22,0,0,1,0.48,0.41,0.3881,89
2,0,4,3,0,0,1,0.5,0.94,0.0896,24
1,1,2,6,6,0,1,0.22,0.87,0.1343,5
2,1,6,9,5,1,2,0.64,0.83,0.2239,298
3,1,7,2,1,1,2,0.74,0.51,0.2537,15
1,0,3,23,2,1,1,0.24,0.65,0.2239,25
2,0,5,2,3,1,3,0.52,0.94,0.2239,6
2,1,4,19,6,0,3,0.56,0.73,0.4925,54
2,0,3,18,3,1,2,0.26,0.93,0.2239,85
2,1,6,13,2,1,2,0.6,0.46,0.1642,267
1,0,1,8,6,0,1,0.02,0.44,0.3284,27
4,0,11,3,3,1,3,0.5,0.94,0.3582,3
4,1,12,5,5,1,2,0.26,0.81,0.1045,26
1,1,2,22,5,1,2,0.32,0.66,0.0,113
1,0,2,2,6,0,2,0.24,0.75,0.1642,17
4,0,10,10,5,1,1,0.52,0.68,0.0896,174
1,1,12,19,1,1,2,0.26,0.6,0.1642,119
1,1,12,10,6,0,1,0.26,0.48,0.3284,118
1,0,12,13,1,0,1,0.38,0.4,0.2985,140
2,1,6,19,4,1,1,0.7,0.34,0.2836,602
4,0,11,6,3,1,1,0.3,0.81,0.0,92
4,0,10,16,2,1,1,0.62,0.57,0.2537,304
3,1,8,20,1,1,2,0.62,0.83,0.2836,261
3,1,7,0,1,1,3,0.72,0.79,0.1045,43
2,0,5,20,4,1,1,0.54,0.77,0.2836,282
3,1,9,11,0,0,1,0.64,0.47,0.1642,559
1,0,2,20,2,1,1,0.16,0.4,0.3284,56
4,0,12,14,2,1,1,0.4,0.37,0.2537,134
1,1,3,0,0,0,1,0.26,0.44,0.0896,69
4,0,9,19,6,0,1,0.62,0.88,0.0,308
2,0,3,4,4,1,3,0.24,0.93,0.2537,2
1,0,1,13,3,1,1,0.28,0.3,0.2985,71
3,1,8,0,5,1,2,0.66,0.69,0.0,111
1,1,2,21,1,1,1,0.28,0.45,0.1343,147
1,1,3,18,5,1,3,0.36,0.87,0.194,160
4,1,11,14,3,1,1,0.46,0.33,0.194,413
2,0,3,14,5,1,1,0.36,0.32,0.3284,133
4,0,10,9,1,1,2,0.4,0.66,0.0896,153
4,1,10,7,4,1,1,0.44,0.88,0.2537,508
3,0,8,7,2,1,1,0.56,0.68,0.1343,357
1,1,3,3,3,1,1,0.48,0.72,0.194,4
4,0,10,22,3,1,3,0.54,0.94,0.0896,43
4,1,11,4,2,1,2,0.34,0.66,0.194,6
2,0,6,6,0,0,2,0.62,0.61,0.1045,21
1,0,1,18,3,1,1,0.24,0.38,0.1343,169
1,1,3,0,1,1,1,0.38,0.54,0.194,24
2,1,4,20,1,0,1,0.74,0.37,0.2985,375
2,0,5,6,0,0,2,0.62,0.88,0.194,15
2,0,4,23,0,0,1,0.4,0.5,0.0896,31
2,1,5,22,2,1,3,0.6,0.78,0.2537,147
1,1,12,22,1,1,2,0.24,0.93,0.0,12
1,0,2,8,4,1,1,0.14,0.5,0.3582,188
2,1,3,6,3,1,2,0.48,0.94,0.2239,149
3,1,8,0,3,1,1,0.62,0.83,0.1045,55
2,1,5,1,6,0,1,0.5,0.48,0.0,93
1,1,2,18,3,1,1,0.56,0.46,0.1642,526
1,1,1,19,6,0,1,0.2,0.47,0.2239,102
3,1,8,6,2,1,1,0.56,0.83,0.1045,169
2,0,5,10,1,1,1,0.66,0.74,0.2985,121
4,1,12,20,3,1,1,0.34,0.46,0.3881,293
3,0,7,14,0,0,1,0.82,0.41,0.3284,349
2,0,5,8,6,0,1,0.62,0.78,0.194,102
4,1,11,15,5,1,1,0.48,0.41,0.2537,447
3,1,7,20,0,0,1,0.74,0.66,0.1045,303
3,0,7,7,2,1,1,0.76,0.55,0.194,330
2,0,5,13,2,1,2,0.7,0.58,0.6119,194
4,0,11,14,4,1,2,0.34,0.49,0.3881,110
1,1,1,11,1,1,1,0.26,0.38,0.0,99
1,1,1,12,3,1,1,0.32,0.53,0.1343,193
3,1,8,5,2,1,1,0.7,0.79,0.1045,36
4,1,11,16,5,1,1,0.38,0.4,0.3284,421
4,0,10,12,3,1,3,0.58,0.53,0.2239,194
4,1,9,23,1,1,1,0.46,0.63,0.1343,94
3,1,8,18,6,0,2,0.7,0.74,0.2985,300
2,1,6,13,4,1,1,0.7,0.37,0.2836,315
3,0,9,1,0,0,1,0.46,0.77,0.2239,79
1,1,1,23,5,1,1,0.32,0.49,0.4179,86
4,0,12,21,3,1,2,0.34,0.66,0.1642,154
2,1,4,7,6,0,1,0.5,0.82,0.2836,76
2,0,3,22,6,0,2,0.28,0.41,0.2239,63
4,1,11,23,1,1,1,0.34,0.66,0.1045,74
3,0,8,12,4,1,1,0.8,0.52,0.2836,173
3,1,9,3,6,0,2,0.66,0.89,0.2239,43
1,1,2,6,1,1,1,0.1,0.54,0.2239,72
4,1,11,14,0,0,2,0.3,0.42,0.2537,203
4,0,11,3,1,1,1,0.32,0.93,0.0,3
3,1,9,9,4,1,3,0.66,0.94,0.1343,123
2,0,3,4,2,1,2,0.42,0.82,0.1642,1
2,1,5,13,6,0,1,0.76,0.66,0.194,539
4,1,10,7,6,0,1,0.4,0.82,0.0,65
4,0,10,0,4,1,2,0.54,0.94,0.1343,15
4,1,10,13,1,1,2,0.56,0.88,0.2239,146
1,1,3,15,4,1,1,0.64,0.38,0.6866,185
4,1,12,6,2,1,2,0.34,0.71,0.2985,118
2,1,4,0,2,1,1,0.4,0.43,0.1343,33
2,1,5,5,3,1,2,0.62,0.78,0.1343,41
3,0,7,23,6,0,1,0.8,0.59,0.1045,104
1,1,2,15,3,1,1,0.5,0.31,0.4179,195
3,1,8,8,0,0,1,0.66,0.54,0.2239,119
3,1,9,20,2,1,1,0.74,0.7,0.2537,385
4,1,10,22,5,1,2,0.52,0.83,0.1343,217
3,1,7,4,0,0,1,0.64,0.69,0.194,13
2,1,4,17,1,1,3,0.3,0.82,0.3284,232
4,1,12,20,2,1,2,0.5,0.63,0.2239,306
